idx,Year,Event,Category,Region/Global,Impact,Labels
0,-480 BC,Battle of Salamis,Political,Global,A decisive naval battle in the Greco-Persian Wars,contributing to the eventual decline of Persian Empire.
1,1776 AD,American Declaration of Independence,Political,North America,Initiated the foundation of the United States and inspired other nations towards self-governance and democracy.,
2,1876 AD,Invention of Telephone,Technological,Global,Revolutionized global communication,making instant long-distance communication possible.
3,1969 AD,Apollo 11 Moon Landing,Scientific,Global,Symbolized human achievement in space exploration,and marked the start of lunar exploration.
4,2008 AD,Global Financial Crisis,Economic,Global,Triggered a worldwide economic recession,leading to major financial reforms and policy changes globally.
5,-331 BC,Battle of Gaugamela,Political,Global,Had Alexander the Great defeated Darius III,the Persian Empire might have continued to exist. This battle marked a turning point leading to the fall of the Persian Empire.
6,1991 AD,Dissolution of the Soviet Union,Political,Global,Marked the end of the Cold War era,leading to the emergence of 15 independent republics.
7,1844 AD,Invention of the Electrical Telegraph,Technological,Global,Allowed for the first time in history,messages to be sent across vast distances instantly. This technology became the precursor to modern telecommunication systems.
8,1957 AD,Launch of Sputnik 1,Scientific,Global,Initiated the space age and sparked the Space Race between the USA and USSR.,
9,1929 AD,The Great Depression,Economic,Global,A severe worldwide economic depression that lasted from 1929 to 1939,leading to major financial reforms and policy changes.
10,480 BC,Battle of Thermopylae,Military,Global,A critical stand by Greek city-states against the Persian army,boosting Greek morale and solidarity.
11,1453 AD,Fall of Constantinople,Political,Europe/Global,Marked the end of the Byzantine Empire and the rise of the Ottoman Empire,leading to shifts in trade routes and cultural exchanges.
12,Invention of the Telegraph,Technological,Global,Enabled swift,long-distance communication through Morse code,revolutionized global information exchange.
13,1959 AD,Lunar Orbit,Scientific,Global,The first successful man-made object to orbit the Moon,setting the stage for future lunar missions.
14,1913 AD,Federal Reserve Act,Economic,Global,Established the Federal Reserve System in the United States,marking the creation of a central banking system to manage the country's monetary policy.
15,-330 BC,Death of Artaxerxes III,Political,Global,The death of the Persian King Artaxerxes III weakened the empire,contributing to internal instability and vulnerability to external threats.
16,1999 AD,Google's Initial Public Offering,Economic,Global,Began Google's journey as a publicly traded company,which has since become a dominant player in the global technology industry.
17,1876 AD,Invention of Telephone,Technological,Global,Initiated the era of voice communication over long distances,eliminating the need for physical mail and leading to faster decision-making processes.
18,1958 AD,Establishment of NASA,Scientific,Global,Created a centralized agency for space exploration in the United States,leading to increased focus on lunar exploration.
19,1971 AD,End of Bretton Woods System,Economic,Global,The collapse of the Bretton Woods system,which led to the adoption of floating exchange rates and significant changes in international monetary policy.
20,479 BC,Battle of Plataea,Military,Global,The Greek victory led to the withdrawal of Persian forces from Greece,contributing to the weakening of Persian influence.
22,Invention of Telephone,Technological,Global,Allowed direct voice communication over long distances,eliminating the need for written messages and leading to faster decision-making.,
23,1966 AD,Zond 3,Scientific,Global,The first spacecraft to take pictures of the Moon's far side,demonstrating the feasibility of lunar photography.
24,1929 AD,Stock Market Crash,Economic,Global,Initiated the Great Depression,leading to significant economic downturns worldwide and the implementation of various economic reforms and regulatory measures.
26,2001 AD,9/11 Attacks,Political,Global,Triggered global security reforms and led to the initiation of the War on Terror by the United States.,
27,1896 AD,First Transatlantic Radio Broadcast,Technological,Global,Enabled audiences in different continents to receive the same broadcast simultaneously,making international news and entertainment possible.
