idx,Year,Event,Category,Region/Global,Impact,Labels
0,1776,Declaration of Independence of the United States,Political,Global,"Established foundational principles of democracy and human rights, inspiring numerous independence movements worldwide",Significant Historical Document
1,1914,Start of World War I,Political,Global,"Triggered widespread geopolitical changes, led to the collapse of empires, and laid the groundwork for the League of Nations",Global Conflict
2,1969,First Moon Landing,Scientific,Global,"Symbolized the pinnacle of space exploration, marked a significant victory in the space race, and fostered international cooperation in scientific research",Space Exploration
3,1989,Fall of the Berlin Wall,Political,Global,"Signified the end of the Cold War, led to German reunification, and heralded a new era of political and social liberalism in Eastern Europe",End of Cold War
4,2001,9/11 Terrorist Attacks,Political,Global,"Catalyzed the War on Terror, led to significant changes in global security policies, and reshaped international relations",9/11 Terrorist Attacks
5,1688,Glorious Revolution,Political,Global,"Established constitutional monarchy in England, reinforced the rights of Parliament, and influenced the development of parliamentary democracy worldwide",Significant Historical Document
6,1939,Start of World War II,Global Conflict,Global,"Initiated by Germany's invasion of Poland, led to the largest and most destructive conflict in human history, with profound political, social, and economic ramifications globally",World War II
7,1957,Launch of Sputnik 1,Scientific,Global,"Marked the beginning of the space age and the space race between the USSR and the USA, leading to increased investment in space technologies",Space Race
8,1989,Fall of the Berlin Wall,Political,Global,"Symbolized the end of the Cold War, led to German reunification, and marked a turning point in global politics by reducing tensions between East and West",End of Cold War
9,2001,9/11 Terrorist Attacks,Political,Global,"Initiated the War on Terror, led to the establishment of the Department of Homeland Security in the US, and resulted in significant global changes in air travel and security protocols",9/11 Attacks
10,1688,Glorious Revolution,Political,Global,"Established constitutional monarchy in England, reinforced parliamentary sovereignty, and influenced the development of liberal democracy",Significant Historical Document
11,1939,Invasion of Poland by Nazi Germany,Political,Global,"Started World War II, led to a global conflict that involved multiple continents and resulted in significant loss of life and destruction.",Global Conflict
12,1957,Launch of Sputnik 1,Scientific,Global,"Marked the beginning of the space age, ignited the space race between the USSR and the USA, and spurred global interest in space exploration",Sputnik Launch
13,1989,Collapse of the Berlin Wall,Political,Global,"Symbolized the fall of the Iron Curtain, allowed for German reunification, and accelerated the decline of Soviet influence in Eastern Europe",End of Cold War
14,2001,Worldwide condemnation of terrorism,Political/Social,Global,"United Nations Security Council passed Resolution 1373, calling for member states to prevent and suppress terrorist acts; heightened global counter-terrorism measures",9/11 Terrorist Attacks
15,1787,Ratification of the United States Constitution,Political,Global,"Created a new government framework for the U.S., emphasized federalism, separation of powers, and checks and balances, inspiring constitutions in other nations",Significant Historical Document
16,1950,Start of Korean War,Global Conflict,Global,"Marked the beginning of a protracted conflict between North and South Korea, influenced the Cold War dynamics and resulted in significant casualties and lasting division on the Korean Peninsula",Korean War
17,1961,First Human in Space - Yuri Gagarin,Scientific,Global,"Showcased human capability in space exploration, intensifying competition during the Cold War era",Human Spaceflight
18,1991,Dissolution of the Soviet Union,Political,Global,"Marked the end of the Soviet era, led to the independence of 15 republics, and altered the geopolitical landscape",End of Cold War
19,2002,USA PATRIOT Act Enacted,Legal/Political,Global,"Expanded the surveillance capabilities of law enforcement and intelligence agencies in the US and around the world, affecting civil liberties and privacy rights",USA PATRIOT Act
20,1787,Ratification of the United States Constitution,Political,Global,"Created a new government framework for the U.S., emphasized federalism, separation of powers, and checks and balances",Significant Historical Document
21,1945,Atomic bombings of Hiroshima and Nagasaki,Military,Global,"Concluded World War II, marked the first and only use of nuclear weapons in war, and ushered in the nuclear age.",World War II
22,1961,First Human in Space,Scientific,Global,"Defined human spaceflight, raised the bar for space exploration, and inspired future missions",Vostok 1
23,1990,Dissolution of the Soviet Union,Political,Global,"Ended the bipolar world order, led to the emergence of new independent states, and marked the end of the Cold War era",End of Cold War
24,2001,Implementation of the USA PATRIOT Act,Political,Global,Expanded the powers of US law enforcement agencies for the purpose of countering terrorism; led to debates on privacy and civil liberties,Post 9/11 Legislation
25,1848,Publication of 'The Communist Manifesto',Political,Global,"Co-authored by Karl Marx and Friedrich Engels, laid out the principles of communism, had a profound influence on political thought and led to the rise of socialist movements worldwide",Significant Historical Document
26,1962,Cuban Missile Crisis,Global Conflict,Global,"The confrontation between the United States and the Soviet Union over Soviet ballistic missiles in Cuba nearly resulted in nuclear war, highlighting the brinkmanship of the Cold War and leading to the establishment of direct communication lines between the superpowers",Cuban Missile Crisis
